2023-05-07 19:36:48,957 DEBUG      log_decorator Функция send_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 42268), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-07 19:37:28,961 INFO       client Сформированно сообщение серверу: {'action': 'massage', 'time': 1683477448.9614506, 'user_massage': 'hellolol'} 
2023-05-07 19:37:28,964 DEBUG      log_decorator Функция create_massage вызванна с аргументами ((), {})из функции send_massage 
2023-05-07 19:37:28,964 INFO       client Сообщение отправленно серверу 
2023-05-07 19:37:28,964 DEBUG      log_decorator Функция send_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 42270), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-07 19:37:43,657 DEBUG      log_decorator Функция send_quit_signal вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 42268), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-07 19:37:43,658 INFO       client Работа клиента завершена 
2023-05-07 19:43:46,944 INFO       sender_client Клиент стартовал ('localhost', 7777) 
2023-05-07 19:43:47,945 INFO       sender_client Клиент стартовал ('localhost', 7777) 
2023-05-07 19:43:58,431 INFO       sender_client Клиент стартовал ('localhost', 7777) 
2023-05-07 19:43:59,432 INFO       sender_client Клиент стартовал ('localhost', 7777) 
2023-05-07 19:45:40,388 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-07 19:45:44,817 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-07 19:46:04,473 INFO       client Сформированно сообщение серверу: {'action': 'massage', 'time': 1683477964.4735296, 'user_massage': 'hello'} 
2023-05-07 19:46:04,476 DEBUG      log_decorator Функция create_massage вызванна с аргументами ((), {})из функции send_massage 
2023-05-07 19:46:04,476 INFO       client Сообщение отправленно серверу 
2023-05-07 19:46:04,476 DEBUG      log_decorator Функция send_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53672), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-07 19:46:11,657 INFO       client Сформированно сообщение серверу: {'action': 'massage', 'time': 1683477971.6571763, 'user_massage': 'hello'} 
2023-05-07 19:46:11,659 DEBUG      log_decorator Функция create_massage вызванна с аргументами ((), {})из функции send_massage 
2023-05-07 19:46:11,660 INFO       client Сообщение отправленно серверу 
2023-05-07 19:46:11,660 DEBUG      log_decorator Функция send_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56248), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-07 19:46:24,201 DEBUG      log_decorator Функция send_quit_signal вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53672), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-07 19:46:24,201 INFO       client Работа клиента завершена 
2023-05-07 19:49:42,721 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-07 19:49:48,415 INFO       client Клиент стартовал ('localhost', 7777) 
